_step,val/box_loss,val/moe_loss,_runtime,train/cls_loss,epoch,train/moe_loss,mAP50-95,mAP50,train/box_loss,val/cls_loss,_timestamp
74,1.29462,0,4658.897600855,1.01767,74,1.0,0.17982,0.31233,1.3954,0.94355,1784817997.2857697
75,1.29468,0,4720.048492339,1.01652,75,1.0,0.17998,0.31111,1.38602,0.94271,1784818058.5868807
76,1.29286,0,4781.418079431,1.01059,76,1.0,0.18075,0.31254,1.38445,0.9409,1784818119.737702
77,1.29078,0,4842.64454184,1.01609,77,1.0,0.18115,0.31339,1.3885,0.93969,1784818181.1073918
78,1.29019,0,4904.081528871,1.00434,78,1.00001,0.18141,0.31432,1.3731,0.93962,1784818242.3338807
79,1.2895,0,4965.347951684,1.00452,79,0.99999,0.18177,0.31388,1.37912,0.93788,1784818303.7709224
80,1.28958,0,5026.685639781,1.00688,80,1.0,0.18095,0.31317,1.37695,0.93924,1784818365.0372424
81,1.28828,0,5088.093120836,0.99851,81,1.00001,0.1819,0.31528,1.37083,0.93402,1784818426.3750095
82,1.28924,0,5149.689191385,0.99322,82,1.0,0.18153,0.316,1.38092,0.93555,1784818487.7825167
83,1.2847,0,5210.867927381,0.9997,83,1.0,0.18301,0.31656,1.37825,0.93354,1784818549.3785062
84,1.28482,0,5272.137339223,0.99668,84,1.0,0.1832,0.31741,1.37154,0.93018,1784818610.5572221
85,1.28361,0,5333.58869319,0.99415,85,1.0,0.18331,0.31761,1.36704,0.93176,1784818671.8266618
86,1.28234,0,5394.89269248,0.98465,86,1.0,0.18143,0.31612,1.36146,0.93045,1784818733.2778935
87,1.28355,0,5456.1558611,0.98498,87,1.0,0.18262,0.31638,1.36459,0.93073,1784818794.582115
88,1.28057,0,5517.155974343,0.98089,88,1.0,0.18408,0.31913,1.35878,0.92876,1784818855.8452313
89,1.28177,0,5578.313005609,0.98891,89,1.0,0.184,0.32002,1.36589,0.92744,1784818916.8452992
90,1.28137,0,5639.652752832,0.98221,90,1.0,0.18517,0.32057,1.3576,0.92743,1784818978.0023813
91,1.279,0,5701.198336116,0.98244,91,1.0,0.18609,0.32145,1.36487,0.92611,1784819039.34204
92,1.27765,0,5762.322829398,0.97543,92,1.0,0.18554,0.32139,1.3581,0.92518,1784819100.8876345
93,1.27747,0,5823.665169762,0.98334,93,0.99999,0.18587,0.32125,1.35839,0.92455,1784819162.0121512
94,1.27654,0,5885.087097766,0.97584,94,1.0,0.18539,0.32063,1.35693,0.92446,1784819223.3544846
95,1.27612,0,5946.43699298,0.97708,95,1.0,0.18643,0.3233,1.35278,0.92263,1784819284.7764156
96,1.27586,0,6007.889518697,0.97561,96,1.0,0.18729,0.32422,1.35057,0.92328,1784819346.1263092
97,1.2766,0,6069.170450227,0.96623,97,1.0,0.18766,0.32483,1.34792,0.92421,1784819407.5788383
98,1.27903,0,6130.535388702,0.97584,98,1.0,0.18877,0.32588,1.36113,0.92533,1784819468.8598318
99,1.29195,0,6191.747898095,0.98976,99,1.0,0.18858,0.3267,1.37767,0.93535,1784819530.2246916
100,1.30329,0,6253.002601366,1.0057,100,1.00001,0.18837,0.32579,1.38348,0.94776,1784819591.4371932
101,1.30671,0,6314.052319705,1.00316,101,1.0,0.1889,0.32663,1.38702,0.95487,1784819652.6918938
102,1.3084,0,6375.269743473,0.9925,102,1.0,0.18978,0.32802,1.37121,0.95819,1784819713.7417068
103,1.31078,0,6436.337854865,0.98816,103,1.0,0.18949,0.32794,1.37188,0.96068,1784819774.9590588
104,1.30904,0,6497.74852106,0.99426,104,1.0,0.18991,0.32758,1.37485,0.96044,1784819836.0271869
105,1.30948,0,6559.377826471,0.99546,105,1.0,0.18991,0.32822,1.37903,0.95998,1784819897.43784
106,1.30871,0,6620.804911384,0.99177,106,0.99999,0.19032,0.32877,1.37646,0.95943,1784819959.0671024
107,1.30731,0,6682.138183875,0.98853,107,1.0,0.19099,0.32971,1.37076,0.95783,1784820020.494222
108,1.30631,0,6743.369513249,0.99315,108,1.0,0.19181,0.33111,1.37038,0.95633,1784820081.8275032
109,1.3054,0,6804.687763067,0.99102,109,1.0,0.192,0.33115,1.37705,0.95517,1784820143.0589054
110,1.30513,0,6866.076469576,0.98778,110,1.0,0.19213,0.33112,1.37347,0.95363,1784820204.3770947
111,1.30489,0,6927.388229495,0.97756,111,1.0,0.19231,0.33125,1.36308,0.95343,1784820265.7658744
112,1.30407,0,6988.844811042,0.98102,112,1.0,0.19249,0.33189,1.36448,0.95191,1784820327.0774994
113,1.30303,0,7050.124973753,0.98025,113,1.0,0.19274,0.33174,1.36397,0.95066,1784820388.5341296
114,1.30254,0,7111.523356504,0.97805,114,1.0,0.1931,0.33244,1.3668,0.94955,1784820449.8143086
115,1.30162,0,7172.659241645,0.97348,115,1.0,0.19332,0.33226,1.36292,0.94864,1784820511.2128024
116,1.30082,0,7233.761507609,0.97154,116,1.0,0.19361,0.33293,1.35383,0.94769,1784820572.3486502
117,1.29964,0,7295.513165366,0.96864,117,1.0,0.19361,0.33309,1.35462,0.94674,1784820633.4508057
118,1.29948,0,7356.763666549,0.96769,118,1.0,0.19364,0.33292,1.35617,0.94587,1784820695.2024446
119,1.29908,0,7418.209044733,0.97115,119,1.0,0.19386,0.3332,1.35378,0.94482,1784820756.4529562
120,1.29876,0,7479.442851974,0.9665,120,1.0,0.19362,0.33342,1.35999,0.94438,1784820817.8983443
121,1.29827,0,7540.78299358,0.95926,121,1.0,0.19415,0.33441,1.34616,0.94376,1784820879.1321836
122,1.29738,0,7601.915736085,0.95745,122,1.0,0.19429,0.33463,1.34317,0.94299,1784820940.4723005
123,1.29684,0,7663.310569804,0.95853,123,1.0,0.19425,0.3347,1.34714,0.94171,1784821001.6050618
124,1.29623,0,7724.539095016,0.96561,124,1.0,0.1947,0.33514,1.35589,0.94135,1784821062.999891
125,1.29582,0,7785.638401238,0.95585,125,1.0,0.19509,0.33552,1.34306,0.9408,1784821124.2285073
