_step,val/box_loss,val/moe_loss,_runtime,train/cls_loss,epoch,train/moe_loss,mAP50-95,mAP50,train/box_loss,val/cls_loss,_timestamp
72,1.36172,0,4628.428218113,1.09372,72,1.00056,0.17245,0.30057,1.45805,1.02662,1784787405.4272757
73,1.35611,0,4690.896743248,1.09252,73,0.99946,0.17501,0.30468,1.46144,1.02032,1784787467.596489
74,1.35725,0,4753.403788406,1.09083,74,1.00022,0.17463,0.30432,1.46226,1.01811,1784787530.0649881
75,1.35658,0,4815.735371646,1.09144,75,0.99997,0.17658,0.30682,1.45299,1.01726,1784787592.5719903
76,1.35366,0,4878.057418357,1.0834,76,0.99977,0.17693,0.30717,1.45036,1.01528,1784787654.903577
77,1.3493,0,4940.377209541,1.08676,77,1.00023,0.17692,0.30677,1.45532,1.01328,1784787717.2256734
78,1.35147,0,5002.969657931,1.077,78,1.00002,0.1758,0.30691,1.44089,1.00988,1784787779.545414
79,1.34627,0,5065.342264102,1.07698,79,1.00001,0.17659,0.30914,1.44628,1.00814,1784787842.1378276
80,1.34542,0,5127.849187874,1.07651,80,0.99998,0.17847,0.30997,1.44163,1.0067,1784787904.5104954
81,1.34333,0,5190.436048898,1.06949,81,0.99997,0.17854,0.3095,1.43557,1.00698,1784787967.0174737
82,1.34277,0,5253.179420237,1.06353,82,1.0,0.17812,0.30954,1.44423,1.00388,1784788029.6042762
83,1.33916,0,5315.631689235,1.07027,83,1.00007,0.17932,0.31117,1.44227,0.99935,1784788092.3476508
84,1.33929,0,5378.44600075,1.06665,84,1.00022,0.17994,0.31323,1.43501,0.9999,1784788154.799895
85,1.34014,0,5441.330210554,1.06265,85,0.99942,0.18015,0.31329,1.43127,0.99996,1784788217.614245
86,1.33909,0,5504.218731745,1.05465,86,1.00034,0.18074,0.31342,1.42573,0.99555,1784788280.498437
87,1.3371,0,5566.994488207,1.05448,87,0.99984,0.18057,0.31428,1.42539,0.99323,1784788343.3868992
88,1.33636,0,5629.323369325,1.04939,88,1.00006,0.18061,0.31379,1.41921,0.99395,1784788406.1626914
89,1.33466,0,5691.944233998,1.05438,89,1.0002,0.18195,0.31725,1.42548,0.9923,1784788468.4915307
90,1.33251,0,5754.515902371,1.04803,90,0.99952,0.18252,0.31672,1.42032,0.98967,1784788531.1123886
91,1.33289,0,5817.46748284,1.04886,91,1.00021,0.18224,0.31768,1.42592,0.98938,1784788593.6840425
92,1.33139,0,5880.213203735,1.04256,92,0.99998,0.18221,0.31717,1.41809,0.98876,1784788656.6357396
93,1.33098,0,5942.836641506,1.0497,93,1.00021,0.18254,0.31705,1.41986,0.98841,1784788719.3813653
94,1.32884,0,6006.00438372,1.04168,94,1.00065,0.1831,0.31853,1.41617,0.98799,1784788782.0049007
95,1.32713,0,6068.972602593,1.04047,95,0.99848,0.18418,0.32087,1.41191,0.98341,1784788845.1725438
96,1.32587,0,6131.959416281,1.03952,96,1.0005,0.18482,0.32017,1.41071,0.98372,1784788908.1406362
97,1.32576,0,6195.034991015,1.02856,97,1.00009,0.18433,0.31993,1.40619,0.98482,1784788971.1275456
98,1.32505,0,6257.894000597,1.02823,98,1.00023,0.18493,0.32056,1.40701,0.98218,1784789034.2032797
99,1.32369,0,6320.5509962,1.02813,99,1.00063,0.18503,0.32088,1.40916,0.98089,1784789097.0622272
100,1.32263,0,6382.981772118,1.03343,100,0.99965,0.18558,0.32101,1.4078,0.97946,1784789159.719173
101,1.32177,0,6444.875161043,1.02811,101,0.99967,0.18601,0.32113,1.40419,0.9785,1784789222.1498516
102,1.32116,0,6506.828678503,1.01737,102,1.00024,0.18599,0.32208,1.38847,0.97755,1784789284.0432942
103,1.32026,0,6569.020477145,1.01135,103,0.99961,0.18577,0.32148,1.38931,0.97683,1784789345.9969208
104,1.31903,0,6631.45662726,1.01643,104,1.00031,0.18586,0.32222,1.39454,0.97531,1784789408.1887617
105,1.31914,0,6694.012504625,1.01691,105,1.00051,0.18714,0.32409,1.39779,0.97386,1784789470.6251023
106,1.31791,0,6757.080735033,1.01075,106,0.99931,0.1877,0.32438,1.39583,0.97353,1784789533.180678
107,1.31775,0,6819.864672275,1.0101,107,1.00028,0.18766,0.32488,1.3908,0.97307,1784789596.2489712
108,1.31677,0,6882.343079243,1.0129,108,0.99973,0.18813,0.32528,1.38847,0.97191,1784789659.0328474
109,1.31574,0,6944.764397389,1.0131,109,1.00001,0.18821,0.32502,1.39841,0.97105,1784789721.5112991
110,1.31479,0,7007.444364769,1.00896,110,0.99979,0.18798,0.32502,1.39232,0.97013,1784789783.932665
111,1.31456,0,7069.956569318,0.99893,111,1.00044,0.1885,0.32531,1.38277,0.96904,1784789846.6125886
112,1.31434,0,7132.503140637,1.00234,112,0.99949,0.1886,0.326,1.38382,0.96905,1784789909.1247795
113,1.31397,0,7194.993948977,1.00329,113,1.00002,0.18879,0.3257,1.38279,0.96855,1784789971.671266
114,1.31303,0,7257.521917799,1.00069,114,1.00073,0.18946,0.32641,1.38552,0.96812,1784790034.1621394
115,1.31248,0,7319.739537167,0.99717,115,0.99979,0.18945,0.3265,1.382,0.96758,1784790096.69012
116,1.31216,0,7381.853377096,0.99221,116,1.00007,0.18943,0.32646,1.37316,0.96699,1784790158.9077363
117,1.31141,0,7444.803796421,0.98918,117,0.99961,0.18946,0.32647,1.37315,0.9667,1784790221.021651
118,1.31046,0,7507.516080007,0.98912,118,1.0003,0.18984,0.32686,1.37782,0.96554,1784790283.9720552
119,1.31035,0,7570.436632595,0.99078,119,0.99945,0.19021,0.32766,1.37432,0.96433,1784790346.6842873
120,1.30994,0,7632.846208045,0.98758,120,1.00035,0.19025,0.32769,1.37949,0.96386,1784790409.60487
121,1.30919,0,7695.476134272,0.98108,121,1.00012,0.19038,0.32841,1.36585,0.96316,1784790472.0144587
122,1.30871,0,7757.642678622,0.97918,122,0.99989,0.1908,0.32885,1.36459,0.96316,1784790534.6443686
123,1.30842,0,7820.402905287,0.98067,123,0.99964,0.19134,0.33004,1.36854,0.96211,1784790596.810904
124,1.30802,0,7883.324868316,0.98523,124,1.00025,0.19148,0.33038,1.37622,0.96178,1784790659.5707653
125,1.30788,0,7946.139896235,0.97452,125,1.00036,0.19196,0.33085,1.36205,0.96149,1784790722.4930985
126,1.30772,0,8008.942787649,0.96896,126,0.99951,0.19248,0.33095,1.35383,0.96126,1784790785.308119
127,1.30768,0,8071.349649364,0.97699,127,1.00083,0.19238,0.33095,1.35978,0.96078,1784790848.110996
128,1.30745,0,8134.308856561,0.97764,128,0.99891,0.19223,0.33123,1.36056,0.96077,1784790910.517709
129,1.30728,0,8196.814549,0.97147,129,1.00067,0.19204,0.33106,1.35892,0.96045,1784790973.4770966
130,1.30741,0,8259.131744251,0.97049,130,0.99975,0.19158,0.33017,1.35697,0.96006,1784791035.9826977
131,1.30771,0,8321.335488256,0.96787,131,0.99982,0.19178,0.33101,1.36372,0.95984,1784791098.2999952
132,1.30705,0,8383.68730886,0.96173,132,0.99985,0.19199,0.33119,1.35233,0.95943,1784791160.503721
133,1.30651,0,8446.601402731,0.96626,133,1.00009,0.19246,0.33204,1.35715,0.95873,1784791222.8555639
134,1.30612,0,8509.177626732,0.96148,134,1.00022,0.19266,0.33174,1.35193,0.95872,1784791285.7696292
135,1.30569,0,8572.141540208,0.96412,135,1.00013,0.19259,0.33168,1.35711,0.95842,1784791348.3458288
136,1.30541,0,8634.58694589,0.95446,136,0.99973,0.19273,0.3316,1.34683,0.9582,1784791411.309806
137,1.30496,0,8697.608289918,0.95274,137,1.00025,0.19296,0.33172,1.34356,0.95798,1784791473.75518
138,1.30483,0,8760.380332188,0.95929,138,0.99974,0.19317,0.3321,1.35333,0.95788,1784791536.776532
139,1.30435,0,8824.211144516,0.9519,139,1.00032,0.19329,0.33237,1.342,0.95756,1784791599.548139
140,1.30401,0,8887.40072858,0.95128,140,0.99954,0.19342,0.33251,1.34283,0.95721,1784791663.3792236
141,1.30393,0,8950.305141425,0.94814,141,1.00011,0.19349,0.33279,1.3446,0.95716,1784791726.5688794
142,1.30336,0,9012.877184499,0.95052,142,1.00021,0.19376,0.33347,1.34135,0.95686,1784791789.4735084
143,1.30323,0,9075.850649938,0.94732,143,0.99982,0.19369,0.33313,1.34378,0.95673,1784791852.0454528
144,1.30306,0,9138.618641842,0.94862,144,1.0002,0.19395,0.3337,1.34841,0.95638,1784791915.0187619
145,1.30291,0,9201.575202365,0.94068,145,0.99971,0.19387,0.33352,1.33284,0.95622,1784791977.786836
146,1.30267,0,9264.70930115,0.93417,146,1.00007,0.19407,0.33394,1.3301,0.95594,1784792040.7433617
147,1.30264,0,9327.57989916,0.94834,147,1.0004,0.19409,0.33405,1.34607,0.95595,1784792103.8774786
148,1.3024,0,9390.521383811,0.94083,148,0.99998,0.19427,0.33456,1.3366,0.95576,1784792166.7480452
149,1.30213,0,9453.100354146,0.94371,149,0.99936,0.19424,0.33444,1.34326,0.95573,1784792229.6896012
150,1.30212,0,9515.955553337,0.93394,150,1.00006,0.19453,0.33485,1.32655,0.95565,1784792292.2686307
151,1.30202,0,9579.044786771,0.93565,151,0.99976,0.19445,0.33486,1.33355,0.95543,1784792355.123774
152,1.30196,0,9641.381955649,0.93891,152,1.00087,0.19473,0.33519,1.33166,0.95541,1784792418.2130365
153,1.30188,0,9704.075816149,0.9308,153,0.99997,0.19471,0.33518,1.32575,0.95517,1784792480.5501487
154,1.3017,0,9767.217812991,0.93111,154,0.99981,0.19475,0.33535,1.32742,0.955,1784792543.2440608
155,1.30149,0,9830.176195161,0.93742,155,0.99992,0.19496,0.33542,1.33468,0.95466,1784792606.3860905
156,1.30137,0,9893.107601869,0.92739,156,1.00061,0.19508,0.33571,1.32763,0.95447,1784792669.34437
157,1.30103,0,9955.773710461,0.92888,157,0.9991,0.19512,0.33599,1.3298,0.95428,1784792732.275677
158,1.30118,0,10018.575977626,0.92758,158,1.00044,0.19508,0.33581,1.32243,0.9541,1784792794.9419162
159,1.30106,0,10081.247751917,0.9209,159,0.99976,0.1951,0.33599,1.31913,0.95394,1784792857.7442088
160,1.30116,0,10143.977633756,0.92455,160,1.00004,0.19493,0.33603,1.32694,0.95391,1784792920.4160223
161,1.30101,0,10206.731481743,0.92183,161,1.00021,0.19516,0.33622,1.31413,0.95381,1784792983.145762
162,1.30098,0,10269.372385464,0.91557,162,0.99978,0.19507,0.33648,1.31556,0.95366,1784793045.899705
163,1.30091,0,10331.995364795,0.92784,163,1.00047,0.19502,0.33648,1.32883,0.95355,1784793108.5405767
164,1.301,0,10394.796119045,0.91565,164,1.00039,0.19499,0.33644,1.32187,0.95345,1784793171.1636562
165,1.30092,0,10457.503556124,0.92252,165,0.99919,0.1951,0.33644,1.31899,0.9533,1784793233.9643826
166,1.30073,0,10520.103819133,0.91833,166,0.99979,0.1952,0.33639,1.31323,0.95313,1784793296.6718142
167,1.30073,0,10582.48283902,0.91145,167,0.99995,0.19515,0.33656,1.31252,0.95309,1784793359.2720435
168,1.30064,0,10645.319967576,0.91264,168,1.00022,0.19496,0.33661,1.31252,0.95303,1784793421.6510582
169,1.30062,0,10708.082213439,0.91099,169,1.00018,0.1949,0.33663,1.30976,0.95297,1784793484.4882722
170,1.30053,0,10770.591627987,0.90809,170,0.99965,0.19505,0.33667,1.31413,0.9529,1784793547.2504644
171,1.30057,0,10833.358924351,0.91055,171,1.00017,0.19504,0.33672,1.31156,0.95294,1784793609.7599318
172,1.30044,0,10895.955074409,0.90317,172,1.00048,0.19507,0.33684,1.30797,0.95287,1784793672.527233
173,1.30037,0,10958.245506506,0.91492,173,0.99895,0.19515,0.3369,1.31603,0.95281,1784793735.1233265
174,1.30043,0,11020.864315902,0.905,174,1.00026,0.19511,0.33679,1.30988,0.95275,1784793797.4137893
175,1.30028,0,11083.24264071,0.90509,175,1.00019,0.19505,0.33665,1.31145,0.95268,1784793860.0326002
176,1.30031,0,11145.927038625,0.9075,176,0.99952,0.19501,0.33671,1.31407,0.9526,1784793922.4108746
177,1.30026,0,11208.714944772,0.90649,177,1.00052,0.19517,0.3367,1.31015,0.95254,1784793985.0952446
178,1.30027,0,11271.153838033,0.90309,178,0.99981,0.1951,0.3367,1.30515,0.95249,1784794047.8831162
179,1.30022,0,11333.436545395,0.9004,179,1.0005,0.19511,0.33673,1.30575,0.95243,1784794110.322086
180,1.30026,0,11396.146114432,0.90589,180,1.0,0.19517,0.33678,1.31006,0.95236,1784794172.6047466
181,1.30023,0,11458.847489734,0.90505,181,1.00009,0.19523,0.33687,1.31071,0.95236,1784794235.3143375
182,1.30018,0,11522.090968995,0.89992,182,0.99955,0.1952,0.33685,1.30646,0.95233,1784794298.0157616
183,1.3002,0,11584.723035264,0.90428,183,1.0005,0.19525,0.33689,1.31334,0.95232,1784794361.2592359
184,1.30026,0,11647.021132568,0.90081,184,0.9999,0.19519,0.33674,1.30886,0.95232,1784794423.8912666
185,1.30019,0,11709.898704402,0.89938,185,0.99958,0.19521,0.33671,1.30421,0.95227,1784794486.1893408
186,1.30024,0,11772.923799649,0.90209,186,1.00008,0.19504,0.33646,1.30306,0.95231,1784794549.066973
187,1.30018,0,11835.492544925,0.89557,187,1.00012,0.19515,0.3366,1.30012,0.9523,1784794612.091969
188,1.30022,0,11897.755441552,0.89766,188,0.99997,0.19505,0.33654,1.30065,0.95233,1784794674.6606922
189,1.30012,0,11960.213474266,0.8999,189,0.99939,0.19503,0.33664,1.30769,0.95232,1784794736.9238133
190,1.30018,0,12023.595234737,0.89854,190,1.0006,0.19497,0.33651,1.30366,0.95228,1784794799.3816993
191,1.30021,0,12084.433664846,0.89935,191,0.99977,0.19501,0.3364,1.29027,0.95228,1784794862.7635555
192,1.30019,0,12145.51441536,0.87253,192,1.00028,0.19506,0.33652,1.27251,0.95235,1784794923.601893
193,1.30023,0,12206.475574012,0.87036,193,1.00008,0.19512,0.33662,1.26863,0.95232,1784794984.6826477
194,1.30026,0,12267.6554471,0.86358,194,1.00005,0.1951,0.33662,1.26496,0.95246,1784795045.6438315
195,1.30034,0,12328.699346548,0.86503,195,0.99956,0.19504,0.33645,1.27348,0.95259,1784795106.8236966
196,1.3004,0,12389.574103024,0.85986,196,1.00016,0.19501,0.33656,1.26422,0.95264,1784795167.8676403
197,1.30047,0,12450.365959037,0.85832,197,1.00001,0.19509,0.33664,1.26505,0.95258,1784795228.7422569
198,1.30057,0,12511.532583011,0.85718,198,1.00019,0.19503,0.33653,1.26067,0.95264,1784795289.5342264
199,1.30063,0,12572.305692666,0.85902,199,0.99961,0.1952,0.3367,1.26497,0.95279,1784795350.7007983
200,1.30051,0,12574.687253981,0.85932,200,1.00011,0.19517,0.33662,1.26547,0.95274,1784795411.4738693
