_step,val/box_loss,val/moe_loss,_runtime,train/cls_loss,epoch,train/moe_loss,mAP50-95,mAP50,train/box_loss,val/cls_loss,_timestamp
26,2.14907,0,353.519934391,1.8685,26,0.99576,0.16243,0.35054,1.99924,2.01819,1784649577.7688007
27,2.14562,0,366.392490764,1.85315,27,0.99636,0.16078,0.35386,2.00711,2.08181,1784649590.4910018
28,2.08385,0,379.169081697,1.88498,28,0.99506,0.17423,0.37947,2.00222,1.97472,1784649603.3636081
29,2.1331,0,391.958600732,1.82156,29,0.99627,0.17045,0.36641,1.97958,1.94621,1784649616.1400783
30,2.1229,0,404.804924921,1.82707,30,0.99553,0.16072,0.3598,1.9892,2.00386,1784649628.9296367
31,2.10306,0,417.510592377,1.76579,31,0.99554,0.16968,0.38058,1.95035,1.94014,1784649641.7759433
32,2.10475,0,430.163685925,1.74041,32,0.99539,0.17109,0.37446,1.92846,1.91671,1784649654.4816332
33,2.13756,0,443.10392723,1.76927,33,0.99478,0.16709,0.37492,1.94377,1.97164,1784649667.134526
34,2.0946,0,455.882563133,1.74964,34,0.99672,0.1881,0.4097,1.93642,1.85147,1784649680.0749545
35,2.0615,0,468.610657142,1.7058,35,0.99569,0.17819,0.39492,1.92783,1.90472,1784649692.8536043
36,2.02325,0,481.447475087,1.75681,36,0.99497,0.18547,0.40481,1.93634,1.84259,1784649705.5816562
37,2.039,0,494.131206252,1.71219,37,0.99654,0.19045,0.40985,1.92245,1.82485,1784649718.4182985
38,2.048,0,506.778860378,1.70518,38,0.99564,0.18385,0.40444,1.92507,1.88942,1784649731.1022303
39,2.01245,0,519.434042884,1.7011,39,0.994,0.18729,0.39689,1.9139,1.8502,1784649743.7499878
40,2.07636,0,532.008108062,1.68957,40,0.99661,0.18993,0.41224,1.89822,1.80932,1784649756.4050772
41,2.06786,0,544.816809025,1.67978,41,0.99477,0.17844,0.40344,1.89562,1.83038,1784649768.9791355
42,2.03741,0,557.662150501,1.68274,42,0.99675,0.19342,0.40687,1.91018,1.76744,1784649781.7878237
43,2.03122,0,570.274531315,1.66365,43,0.99638,0.19923,0.42186,1.88121,1.7676,1784649794.6331198
44,2.03473,0,582.965537741,1.64137,44,0.99445,0.19621,0.42491,1.86552,1.75689,1784649807.2453716
45,2.0492,0,595.714610386,1.59103,45,0.99446,0.19062,0.41114,1.85219,1.79549,1784649819.9366555
46,2.04553,0,608.508113301,1.64037,46,0.99677,0.19856,0.42856,1.88504,1.76482,1784649832.685633
47,2.02161,0,621.063396205,1.60588,47,0.99759,0.2026,0.44371,1.85478,1.75416,1784649845.4791245
48,2.02055,0,633.847263398,1.61135,48,0.99633,0.20027,0.42832,1.84604,1.79943,1784649858.0344567
49,2.04119,0,646.453761225,1.60432,49,0.9953,0.20379,0.42115,1.84152,1.71347,1784649870.8182826
50,2.07107,0,658.999869941,1.58863,50,0.99728,0.19575,0.41646,1.85054,1.82035,1784649883.4247367
51,2.02007,0,671.735655934,1.58371,51,0.99654,0.19561,0.43205,1.83658,1.74579,1784649895.970877
52,2.01491,0,684.429072989,1.56478,52,0.99568,0.20759,0.44174,1.85712,1.72487,1784649908.7066677
53,1.99039,0,697.066109598,1.55243,53,0.99623,0.21288,0.44634,1.84053,1.69099,1784649921.4000957
54,1.99628,0,709.590153679,1.54741,54,0.99623,0.20415,0.43596,1.83821,1.66047,1784649934.0370698
55,2.0246,0,722.211315157,1.51202,55,0.99603,0.20887,0.44346,1.80896,1.68047,1784649946.561261
56,1.98365,0,734.992336584,1.50193,56,0.99682,0.20766,0.44081,1.80799,1.65978,1784649959.182192
